damage,level,death,hurt,depth
1.678946648,5.6,0,0,1.204119983
3.051068609,6.4,0.301029996,0.477121255,1.204119983
2.521684181,5.6,0,0,1
2.365129636,5,0.698970004,1.462397998,0.903089987
1.89378502,6.4,0,0,1
2.223789261,5.3,0,0.301029996,1.176091259
2.839441439,5,0,0,0.954242509
2.182245812,5.1,0,0,1
3.384111791,6,1.146128036,2.477121255,1.204119983
2.804595121,5.4,0.301029996,1.919078092,1
2.161367092,5,0,0,1.041392685
1.832841866,5.2,0,0,1
3.066120553,5.7,0,0.903089987,1
2.405198338,5.2,0.301029996,0.77815125,1
2.172019559,5.2,0,1.278753601,1.146128036
2.395689241,5.3,0,0,0.954242509
2.708231272,5.7,0,0,1.113943352
2.762896608,5,0,1.505149978,0.84509804
2.697660416,5.5,0,0,0.903089987
3.008447766,5.9,0,1.462397998,1.041392685
1.995980862,5.1,0,0.698970004,1.278753601
2.702560884,5.7,0,1.255272505,1.079181246
2.492997779,5. 1,0,0.301029996,1.079181246
3.120781629,5. 5,0.954242509,1.505149978,0.903089987
3.475881301,7. 0,1.491361694,2.7355989,1.301029996
3.315813959,6. 6,0,1.568201724,1.041392685
2.001122271,5. 4,0,0.602059991,1.113943352
2.540345229,6. 9,0,0.602059991,1
2.181554698,5. 3,0,0,0.698970004
2.994315807,6.4,0,1.041392685,1
2.113671576,5. 0,0,0,0.903089987
3.037233312,5. 5,0,1.851258349,0.838849091
2.432214624,5. 0,0,0.698970004,1.176091259
2.359429632,5. 4,0,0,1
2.07096884,5. 1,0,0,1.204119983
2.62178051,6. 2,0.301029996,0,0.954242509
2.746123227,6. 7,0.301029996,0,1
3.20061599,6. 2,0,0.602059991,0.77815125
1.67460169,5. 0,0,0,0.698970004
2.351669416,5.8,0,0,0.698970004
2.517090822,5,0,1.322219295,1
2.517090822,5,0,1.322219295,1.146128036
2.182245812,5,0,0.301029996,0.602059991
2.89747638,5.5,0,1.707570176,1.041392685
2.774342178,5. 5,0,0.301029996,0.84509804
2.665032503,5.8,0,0,1
3.539156978,8.1,1.447158031,2.935003151,1.301029996
3.375456786,6. 5,0.602059991,2.416640507,1
2.58027826,5. 1,0,0,1
2.962776841,7.3,0,0,1.079181246
2.736044534,5.3,0,1.51851394,1.113943352
3.093296075,5.6,0,1.792391689,1.079181246
3.70679801,6.5,2.790988475,3.497482537,1.079181246
2.637318709,5,0,1.322219295,0.84509804
2.458013531,5,0,0.301029996,1.176091259
3.359940366,6.6,0.301029996,2.521138084,0.698970004
3.311725364,6.3,0.77815125,1.897627091,1.255272505
3.164244265,5.8,0.301029996,1.361727836,0.954242509
2.403073313,5.4,0,0.477121255,1.176091259
2.854690339,5.5,0,1.491361694,0.954242509
1.989245264,5.2,0,0,0.903089987
1.705843232,5.6,0,0,1.113943352
2.542533937,5,0,1.176091259,1.041392685
4.015910281,7,2.294466226,4.114610984,1.113943352
2.831738345,5.3,0,1.146128036,0.77815125
3.759733544,6.6,1.982271233,3.382917135,1.301029996
3.197531859,6.1,0,1.944482672,1
3.11585143,5.9,0.602059991,1.806179974,1
3.123066251,5.8,0,1.414973348,0.954242509
2.086520514,5.3,0,0,0.954242509
2.281884105,5.1,0,0.698970004,0.698970004
2.133108339,5,0,0,0.84509804
2.777394571,6,0,0,1.477121255
1.72770015,5.4,0,0,0.903089987
2.152907879,5.4,0,0,1.301029996
2.876659643,5.7,0.698970004,2.646403726,1.041392685
3.118903284,6.6,0,1.72427587,0.84509804
2.175028555,6.2,0,0,1.477121255
3.342385706,5.7,1.913813852,2.921686475,1.146128036
1.650164514,5.5,0,0,0.903089987
2.239814602,5.1,0,0,0.954242509
3.165124722,5.8,1.414973348,2.498310554,1
2.5025944,5.3,0,0.698970004,0.84509804
2.333751843,5.3,0,0.903089987,0.698970004
2.616096352,5.2,0,0.84509804,1
2.244360439,5.2,0,0,1
2.07328218,5.2,0,0,1
2.457843059,5.2,0,0.84509804,1.041392685
2.509154,5.8,0,1.342422681,0.903089987
1.450902976,5.5,0,0,0.77815125
1.80917654,5,0,0,0.602059991
2.843796086,6,0,0,1.447158031
2.169871681,5.2,0,0,1
2.63007656,5,0.301029996,1.230448921,1
2.677795195,5.1,0,1.556302501,1.204119983
3.742760001,7.1,3.431202885,4.041432165,1.146128036
1.990415648,5.1,0,0,0.903089987
2.156537263,5,0,0,0.84509804
2.157859054,5.5,0,0,0.84509804
1.965193603,5,0,0,0.84509804
3.139105273,6,0.301029996,2.571708832,1
2.380606452,6.4,0,0,0.903089987
2.583740465,5,0,1.505149978,1
2.524804232,7.3,0,0,1.51851394
2.243462213,5,0,0,1.041392685
2.115825434,5,0,0,1.51851394
2.315337939,5.1,0,0,1.342422681
2.064457319,5.2,0,0,1.146128036
3.011593925,5,0.77815125,2.117271296,1
3.325259951,6.1,1.62324929,3.004751156,1
2.096316215,5.3,0,0,1.397940009
2.253062722,6.8,0,0,1.431363764
2.715899989,6.6,1.041392685,1.785329835,0.903089987
2.604555221,6.3,0,0.602059991,1
3.106843242,6.4,0.602059991,2.62324929,0.698970004
2.380129181,5.7,0,0,1.397940009
2.380121554,5,0,0.301029996,1.204119983
2.3803147,5,0,0.477121255,1.176091259
1.597869298,5.6,0,0,1
2.275148466,5,0.301029996,1.301029996,1.176091259
1.760655808,5. 1,0,0,1.301029996
2.135874233,5,0,0,1.176091259
2.577089584,5.1,1.361727836,2.06069784,0.954242509
2.534979274,5.1,0.477121255,1.832508913,0.84509804
1.237051101,5.1,0,0,1.230448921
1.656835126,4.7,0,0,0.698970004
2.191112211,5,0,0.77815125,0.77815125
2.470605941,6.2,0,0,1.505149978
1.77437184,6.5,0,0,1
2.023868408,5.1,0.301029996,1.079181246,1.176091259
2.489977936,5.3,0,1.653212514,1.322219295
2.333608546,5.3,0,1.477121255,1.176091259
3.124903688,5.7,1.146128036,2.889861721,1
1.862862419,5.6,0,0.77815125,1.176091259
2.535004495,5.9,0.301029996,0.77815125,1.477121255
2.661305408,5.6,0.698970004,2.776701184,1
1.130721488,5.8,0,0,1.397940009
2.248159981,5,0.301029996,1.568201724,1.51851394
2.552640606,5,0,1.230448921,0.77815125
2.124578068,5,0.301029996,1.322219295,0.84509804
3.028589266,6.8,2.42975228,3.686099772,1.401400541
2.288220092,5.8,0.301029996,0.602059991,1.426511261
2.808906766,6.2,1.230448921,2.899820502,0.77815125
2.88798447,5.9,0.698970004,3.027349608,1.176091259
2.141114799,5.7,0.477121255,1.176091259,0.954242509
1.965807975,5,0,1,1
2.718515057,6.1,0.602059991,1.763427994,0.698970004
2.766490472,6.1,1.041392685,1.672097858,1.255272505
2.321458101,5.2,0.301029996,2.127104798,1.079181246
1.931189697,5.1,0.698970004,1.977723605,1
2.335816959,5,0,1.397940009,0.903089987
2.504987937,6.1,1.041392685,1.653212514,1.255272505
2.049486199,5.3,0,1,0.698970004
1.708978006,5,0,0,1.176091259
2.51603369,6,0.602059991,2.190331698,1.397940009
2.205009425,5,0.301029996,0.84509804,1
2.768268633,5.2,0.602059991,2.372912003,1
2.456886311,5.8,0.301029996,1.857332496,0.698970004
2.097436139,5.3,0.301029996,1.204119983,0.698970004
1.933852452,5.3,0,0.301029996,1.113943352
1.217317467,5.3,0,0,1
2.105005586,5.1,0,0.698970004,0.903089987
2.715358805,6,0.301029996,2.344392274,1.176091259
